PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,ALL_STAR
1629662,Mfiondu Kabengele,BOS,25.0,4,3,1,0.75,9.1,0.5,1.8,0.286,0.0,0.8,0.0,0.5,0.5,1.0,1.3,1.3,2.5,0.0,0.3,0.5,0.0,0.0,0.8,1.3,1.5,-1.3,0
1630695,Micah Potter,UTA,25.0,7,4,3,0.571,7.5,1.4,2.1,0.667,0.6,1.0,0.571,0.0,0.0,0.0,0.4,1.9,2.3,0.6,0.3,0.1,0.0,0.0,0.7,0.3,3.4,-0.4,0
203487,Michael Carter-Williams,ORL,31.0,4,1,3,0.25,11.1,1.5,3.5,0.429,0.3,0.8,0.333,1.0,1.8,0.571,0.3,1.0,1.3,1.8,1.0,0.3,0.3,0.5,1.3,1.5,4.3,-6.5,0
1630701,Michael Foster Jr.,PHI,20.0,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0
1629008,Michael Porter Jr.,DEN,25.0,62,41,21,0.661,29.0,6.4,13.2,0.487,3.0,7.3,0.414,1.5,1.9,0.8,1.0,4.5,5.5,1.0,1.1,0.6,0.5,0.5,1.9,1.4,17.4,6.7,0
1628969,Mikal Bridges,BKN,26.0,83,42,41,0.506,35.7,7.1,15.3,0.468,2.0,5.3,0.382,3.8,4.3,0.895,1.0,3.4,4.4,3.3,1.5,1.1,0.7,0.7,1.9,3.4,20.1,0.4,0
201144,Mike Conley,MIN,35.0,67,34,33,0.507,30.3,3.9,9.1,0.428,2.0,5.2,0.385,2.1,2.5,0.834,0.5,2.2,2.7,6.7,1.5,1.1,0.2,0.2,2.1,2.6,11.9,0.9,0
203488,Mike Muscala,BOS,31.0,63,32,31,0.508,15.0,2.1,4.6,0.449,1.3,3.3,0.391,0.6,0.8,0.769,0.6,2.6,3.2,0.8,0.4,0.2,0.4,0.2,1.6,0.8,6.1,3.2,0
1630540,Miles McBride,NYK,22.0,64,36,28,0.563,11.9,1.2,3.4,0.358,0.6,2.1,0.299,0.4,0.7,0.667,0.2,0.6,0.8,1.1,0.4,0.6,0.1,0.2,0.9,0.6,3.5,0.8,0
1629011,Mitchell Robinson,NYK,25.0,59,35,24,0.593,26.9,3.2,4.7,0.671,0.0,0.0,0.0,1.0,2.1,0.484,4.5,4.9,9.4,0.9,0.7,0.9,1.8,0.5,2.7,1.9,7.4,3.1,0
1628964,Mo Bamba,LAL,25.0,49,25,24,0.51,15.7,2.4,4.9,0.485,1.0,2.5,0.387,0.8,1.3,0.661,1.2,3.4,4.6,0.9,0.6,0.3,0.9,0.3,2.1,1.0,6.6,0.2,0
